Department,Job Title,Job Area,Standard Hours,Marital Status,Hourly Rate,FULLTIME_IND,Days in Role,days_employed,Years of Service,Job Code,apprenticeship_ind,Pay Group,term_ind,Days Employed When Survey Sent,Days With Company on Submit of Survey,PC,Division,,Job Title,ED & DHS Average Rating,Immediate Supervisor Average Rating,Communication and Campus Average Rating,Department Morale Rating
58-Facility Admin,Executive Director,Executive Director,40,M,55.57,1,365,365,1,200002,0,H7L,1,365,365,411,North Ohio,Region A,Executive Director,0,5,4.2,4
58-Facility Admin,Executive Director,Executive Director,40,S,42.12,1,479,870,2.383561644,200002,0,H7L,1,0,30,518,North Michigan,Region B,Executive Director,4.88,5,5,5
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,14.9,1,564,731,2.002739726,200006,0,H7L,1,0,182,101,Southwest Indiana,Region C,AP/Payroll Coordinator,5,5,5,4
58-Facility Admin,AP/Payroll Coordinator,Finance,40,M,20.18,1,567,567,1.553424658,200006,0,H7L,1,0,183,145,South Kentucky,Region D,AP/Payroll Coordinator,3,4.63,3.83,4
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,17.98,1,700,700,1.917808219,200006,0,H7L,1,0,183,162,North Central Indiana,Region E,AP/Payroll Coordinator,3.88,4.88,3.67,4
58-Facility Admin,Guest Relations,Guest Relations,5,S,12.92,0,407,407,1.115068493,200007,0,H7L,1,0,90,139,North Indiana,Region F,Guest Relations,4.38,4.38,4,5
58-Facility Admin,Guest Relations,Guest Relations,5,S,12.92,0,407,407,1.115068493,200007,0,H7L,1,0,90,139,North Indiana,Region F,Guest Relations,4.38,4.38,4,5
58-Facility Admin,Executive Director,Executive Director,40,W,46.13,1,275,478,1.309589041,200002,0,H7L,1,0,90,106,North Central Indiana,Region E,Executive Director,5,5,4.25,5
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,16.73,1,648,648,1.775342466,200006,0,H7L,1,0,35,418,South Ohio,Region G,AP/Payroll Coordinator,4.2,3,3.4,1
58-Facility Admin,Executive Director,Executive Director,40,M,55.98,1,854,854,2.339726027,200002,0,H7L,1,0,481,508,North Michigan,Region B,Executive Director,4.75,4.75,4.5,5
58-Facility Admin,Business Office Manager,Manager,40,S,21.21,1,692,692,1.895890411,200005,0,H7L,1,0,30,142,Southwest Indiana,Region C,Business Office Manager,4,4,4.25,4
58-Facility Admin,AP/Payroll Coordinator,Finance,40,M,16.58,1,685,685,1.876712329,200006,0,H7L,1,0,90,174,Central South Indiana,Region H,AP/Payroll Coordinator,5,5,4.83,5
58-Facility Admin,Executive Director,Executive Director,40,M,48.08,1,346,346,0.947945205,200002,0,H7L,1,0,31,166,Central South Indiana,Region H,Executive Director,5,5,5,5
58-Facility Admin,Executive Director,Executive Director,40,S,47.24,1,860,1267,3.471232877,200002,0,H7L,1,0,365,501,North Michigan,Region B,Executive Director,5,5,5,5
58-Facility Admin,Guest Relations,Guest Relations,40,M,12.24,1,42,506,1.38630137,200007,0,H7L,1,0,38,127,South Kentucky,Region D,Guest Relations,5,5,5,5
58-Facility Admin,Assistant BOM,Other,20,M,16.32,0,589,589,1.61369863,200012,0,H7L,1,0,185,160,Central South Indiana,Region H,Assistant BOM,3.75,4.13,3.83,4
58-Facility Admin,Business Office Manager,Manager,40,S,27.33,1,666,666,1.824657534,200005,0,H7L,1,0,91,160,Central South Indiana,Region H,Business Office Manager,4.88,4.75,4.5,4
58-Facility Admin,Guest Relations,Guest Relations,40,S,16.2,1,286,286,0.783561644,200007,0,H7L,1,0,36,153,Central South Indiana,Region H,Guest Relations,5,5,5,5
58-Facility Admin,Guest Relations,Guest Relations,40,S,13.26,1,101,646,1.769863014,200007,0,H7L,1,0,191,148,South Kentucky,Region D,Guest Relations,4.38,4.38,4.17,4
58-Facility Admin,Executive Director,Executive Director,40,M,47.46,1,856,856,2.345205479,200002,0,H7L,1,0,365,170,North Indiana,Region F,Executive Director,4.38,4.5,5,4
58-Facility Admin,Executive Director,Executive Director,40,M,47.46,1,856,856,2.345205479,200002,0,H7L,1,0,182,170,North Indiana,Region F,Executive Director,4.75,4.88,4,4
58-Facility Admin,Executive Director,Executive Director,40,M,43.64,1,485,485,1.328767123,200002,0,H7L,1,0,182,151,Southeast Indiana,Region I,Executive Director,5,5,5,4
58-Facility Admin,Executive Director,Executive Director,40,S,51.27,1,500,500,1.369863014,200002,0,H7L,1,0,30,422,North Ohio,Region A,Executive Director,5,5,5,5
58-Facility Admin,Business Office Manager,Manager,40,S,27.2,1,478,478,1.309589041,200005,0,H7L,1,0,30,146,South Kentucky,Region D,Business Office Manager,5,5,5,5
58-Facility Admin,AP/Payroll Coordinator,Finance,40,M,16.58,1,685,685,1.876712329,200006,0,H7L,1,0,34,174,Central South Indiana,Region H,AP/Payroll Coordinator,4.86,5,5,5
58-Facility Admin,Executive Director,Executive Director,40,S,42.12,1,479,870,2.383561644,200002,0,H7L,1,0,92,518,North Michigan,Region B,Executive Director,5,5,5,5
58-Facility Admin,Business Office Manager,Manager,40,M,22.66,1,183,183,0.501369863,200005,0,H7L,1,182,182,304,Southwest Indiana,Region C,Business Office Manager,1.88,2,4,4
